"operator","route","survey_name","survey_year","weekpart","first_after","first_before","intercept","second_after","second_before","third_after","third_before","survey_boardings"
"BART","Hayward Millbrae","BART",2015,"WEEKDAY",0,0,5.6810805795,0,0,0,0,6.964130778
"BART","Hayward Montgomery St.","BART",2015,"WEEKDAY",0,0,545.0494096065,0,0,0,0,562.262662939
"BART","Hayward North Berkeley","BART",2015,"WEEKDAY",0,0,32.23124649,0,0,0,0,33.422234049
"BART","Hayward North Concord/Martinez","BART",2015,"WEEKDAY",0,0,13.466783009,0,0,0,0,13.466783009
"BART","Hayward Oakland International Airport","BART",2015,"WEEKDAY",0,0,12.795541487,0,0,0,0,12.795541487
"BART","Hayward Orinda","BART",2015,"WEEKDAY",0,0,6.320857653,0,0,0,0,6.320857653
"BART","Hayward Pittsburg/Bay Point","BART",2015,"WEEKDAY",0,0,34.5412362823333,0,0,0,0,54.790089124
"BART","Hayward Pleasant Hill/Contra Costa Centre","BART",2015,"WEEKDAY",0,0,22.2954735643333,0,0,0,0,30.597425983
"BART","Hayward Powell St.","BART",2015,"WEEKDAY",0,0,278.915509336,0,0,0,0,320.993288848
"BART","Hayward Richmond","BART",2015,"WEEKDAY",0,0,36.869338948,0,0,0,0,42.60985237
"BART","Hayward Rockridge","BART",2015,"WEEKDAY",0,0,23.456162027,0,0,0,0,24.472347107
"BART","Hayward San Bruno","BART",2015,"WEEKDAY",0,0,15.6273416535,0,0,0,0,18.389220827
"BART","Hayward San Francisco Intl Airport","BART",2015,"WEEKDAY",0,0,17.957109097,0,0,0,0,22.053080793
"BART","Hayward San Leandro","BART",2015,"WEEKDAY",0,0,187.028863958,0,0,0,0,215.762196305
"BART","Hayward South Hayward","BART",2015,"WEEKDAY",0,0,75.7512370905,0,0,0,0,102.64401586
"BART","Hayward South San Francisco","BART",2015,"WEEKDAY",0,0,8.914926446,0,0,0,0,9.397381289
"BART","Hayward Union City","BART",2015,"WEEKDAY",0,0,188.566426549,0,0,0,0,222.88015324
"BART","Hayward Walnut Creek","BART",2015,"WEEKDAY",0,0,27.423012957,0,0,0,0,27.423012957
"BART","Hayward West Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,37.033653279,0,0,0,0,47.154716834
"BART","Hayward West Oakland","BART",2015,"WEEKDAY",0,0,38.676796581,0,0,0,0,39.938870482
"BART","Lafayette 12th St. Oakland City Center","BART",2015,"WEEKDAY",0,0,155.014838667,0,0,0,0,155.014838667
"BART","Lafayette 16th St. Mission","BART",2015,"WEEKDAY",0,0,43.8768207315,0,0,0,0,45.910123171
"BART","Lafayette 19th St. Oakland","BART",2015,"WEEKDAY",0,0,154.942120858,0,0,0,0,159.615639946
"BART","Lafayette 24th St. Mission","BART",2015,"WEEKDAY",0,0,29.478690117,0,0,0,0,29.478690117
"BART","Lafayette Ashby","BART",2015,"WEEKDAY",0,0,11.830631802,0,0,0,0,11.830631802
"BART","Lafayette Balboa Park","BART",2015,"WEEKDAY",0,0,15.606365357,0,0,0,0,15.606365357
"BART","Lafayette Bay Fair","BART",2015,"WEEKDAY",0,0,5.999221091,0,0,0,0,5.999221091
"BART","Lafayette Castro Valley","BART",2015,"WEEKDAY",0,0,1.915835173,0,0,0,0,1.915835173
"BART","Lafayette Civic Center/UN Plaza","BART",2015,"WEEKDAY",0,0,241.122190385,0,0,0,0,244.835344651
"BART","Lafayette Coliseum","BART",2015,"WEEKDAY",0,0,40.652064596,0,0,0,0,40.652064596
"BART","Lafayette Colma","BART",2015,"WEEKDAY",0,0,4.167291108,0,0,0,0,4.167291108
"BART","Lafayette Concord","BART",2015,"WEEKDAY",0,0,102.8977291865,0,0,0,0,114.68441065
"BART","Lafayette Daly City","BART",2015,"WEEKDAY",0,0,22.5040711885,0,0,0,0,24.640157486
"BART","Lafayette Downtown Berkeley","BART",2015,"WEEKDAY",0,0,88.324196755,0,0,0,0,88.324196755
"BART","Lafayette Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,2.335361125,0,0,0,0,2.335361125
"BART","Lafayette El Cerrito del Norte","BART",2015,"WEEKDAY",0,0,12.292110346,0,0,0,0,12.292110346
"BART","Lafayette El Cerrito Plaza","BART",2015,"WEEKDAY",0,0,11.4076098015,0,0,0,0,11.886568595
"BART","Lafayette Embarcadero","BART",2015,"WEEKDAY",0,0,1059.70596224383,0,0,0,0,1109.995743843
"BART","Lafayette Fremont","BART",2015,"WEEKDAY",0,0,14.31981911,0,0,0,0,14.31981911
"BART","Lafayette Fruitvale","BART",2015,"WEEKDAY",0,0,24.2101433845,0,0,0,0,25.213509616
"BART","Lafayette Glen Park","BART",2015,"WEEKDAY",0,0,16.011907107,0,0,0,0,16.011907107
"BART","Lafayette Hayward","BART",2015,"WEEKDAY",0,0,9.2016025125,0,0,0,0,9.621128463
"BART","Lafayette Lake Merritt","BART",2015,"WEEKDAY",0,0,12.655699504,0,0,0,0,12.655699504
"BART","Lafayette MacArthur","BART",2015,"WEEKDAY",0,0,46.9301927505,0,0,0,0,58.342075502
"BART","Lafayette Millbrae","BART",2015,"WEEKDAY",0,0,14.1929624505,0,0,0,0,14.725360859
"BART","Lafayette Montgomery St.","BART",2015,"WEEKDAY",0,0,795.1682856555,0,0,0,0,813.78245441
"BART","Lafayette North Berkeley","BART",2015,"WEEKDAY",0,0,10.781816926,0,0,0,0,10.781816926
"BART","Lafayette North Concord/Martinez","BART",2015,"WEEKDAY",0,0,17.144627173,0,0,0,0,17.144627173
"BART","Lafayette Oakland International Airport","BART",2015,"WEEKDAY",0,0,20.514818976,0,0,0,0,20.514818976
"BART","Lafayette Orinda","BART",2015,"WEEKDAY",0,0,21.815349423,0,0,0,0,21.815349423
"BART","Lafayette Pittsburg/Bay Point","BART",2015,"WEEKDAY",0,0,40.9884622505,0,0,0,0,47.75603735
"BART","Lafayette Pleasant Hill/Contra Costa Centre","BART",2015,"WEEKDAY",0,0,44.2529956675,0,0,0,0,54.398531568
"BART","Lafayette Powell St.","BART",2015,"WEEKDAY",0,0,233.6832561385,0,0,0,0,245.716349142
"BART","Lafayette Richmond","BART",2015,"WEEKDAY",0,0,9.285507702,0,0,0,0,9.285507702
"BART","Lafayette Rockridge","BART",2015,"WEEKDAY",0,0,82.633626904,0,0,0,0,86.953745322
"BART","Lafayette San Bruno","BART",2015,"WEEKDAY",0,0,9.565191669,0,0,0,0,9.565191669
"BART","Lafayette San Francisco Intl Airport","BART",2015,"WEEKDAY",0,0,89.3243847595,0,0,0,0,91.722356953
"BART","Lafayette San Leandro","BART",2015,"WEEKDAY",0,0,8.782076561,0,0,0,0,8.782076561
"BART","Lafayette South Hayward","BART",2015,"WEEKDAY",0,0,4.978374612,0,0,0,0,4.978374612
"BART","Lafayette South San Francisco","BART",2015,"WEEKDAY",0,0,5.258058578,0,0,0,0,5.258058578
"BART","Lafayette Union City","BART",2015,"WEEKDAY",0,0,3.244334017,0,0,0,0,3.971512331
"BART","Lafayette Walnut Creek","BART",2015,"WEEKDAY",0,0,72.053223414,0,0,0,0,80.12945653
"BART","Lafayette West Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,1.85989838,0,0,0,0,1.85989838
"BART","Lafayette West Oakland","BART",2015,"WEEKDAY",0,0,4.6462499015,0,0,0,0,5.789458116
"BART","Lake Merritt 12th St. Oakland City Center","BART",2015,"WEEKDAY",0,0,59.446827171,0,0,0,0,59.446827171
"BART","Lake Merritt 16th St. Mission","BART",2015,"WEEKDAY",0,0,242.200721673,0,0,0,0,254.708188673
"BART","Lake Merritt 19th St. Oakland","BART",2015,"WEEKDAY",0,0,66.145258179,0,0,0,0,66.145258179
"BART","Lake Merritt 24th St. Mission","BART",2015,"WEEKDAY",0,0,123.584770207,0,0,0,0,141.715866033
"BART","Lake Merritt Ashby","BART",2015,"WEEKDAY",0,0,91.31681521,0,0,0,0,91.31681521
"BART","Lake Merritt Balboa Park","BART",2015,"WEEKDAY",0,0,82.108220599,0,0,0,0,90.170110944
"BART","Lake Merritt Bay Fair","BART",2015,"WEEKDAY",0,0,273.039724736,0,0,0,0,281.390039176
"BART","Lake Merritt Castro Valley","BART",2015,"WEEKDAY",0,0,106.955926892,0,0,0,0,117.732965883
"BART","Lake Merritt Civic Center/UN Plaza","BART",2015,"WEEKDAY",0,0,532.989074434333,0,0,0,0,560.081128036
"BART","Lake Merritt Coliseum","BART",2015,"WEEKDAY",0,0,239.989819929,0,0,0,0,281.893470272
"BART","Lake Merritt Colma","BART",2015,"WEEKDAY",0,0,17.340405951,0,0,0,0,17.340405951
"BART","Lake Merritt Concord","BART",2015,"WEEKDAY",0,0,42.959457322,0,0,0,0,46.301680727
"BART","Lake Merritt Daly City","BART",2015,"WEEKDAY",0,0,125.412621477,0,0,0,0,146.232762117
"BART","Lake Merritt Downtown Berkeley","BART",2015,"WEEKDAY",0,0,302.0741334905,0,0,0,0,320.112284346
"BART","Lake Merritt Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,173.758610724833,0,0,0,0,196.911496925
"BART","Lake Merritt El Cerrito del Norte","BART",2015,"WEEKDAY",0,0,129.085804253333,0,0,0,0,141.89766064
"BART","Lake Merritt El Cerrito Plaza","BART",2015,"WEEKDAY",0,0,97.581736077,0,0,0,0,97.581736077
"BART","Lake Merritt Embarcadero","BART",2015,"WEEKDAY",0,0,1028.720940934,0,0,0,0,1094.333441489
"BART","Lake Merritt Fremont","BART",2015,"WEEKDAY",0,0,170.259479444667,0,0,0,0,201.400424605
