"survey","survey_year","survey_name","canonical_name","canonical_operator","technology"
"AC Transit",2018,"ROUTE DB - Dumbarton Express [TO UNION CITY BART]","AC TRANSIT___DB Dumbarton Express","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE DB - Dumbarton Express [TO STANFORD OVAL]","AC TRANSIT___DB Dumbarton Express","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 12 - Dtn. Oakland /Dtn. Berkeley/4th St. Harrison [TO WESTBRAE-BERKELEY]","AC TRANSIT___12 Berkeley BART to Downtown Oakland","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 12 - Dtn. Oakland /Dtn. Berkeley/4th St. Harrison [TO OAKLAND AMTRAK]","AC TRANSIT___12 Berkeley BART to Downtown Oakland","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE DB1 - Dumbarton Express [TO UNION CITY BART]","AC TRANSIT___DB1 Dumbarton Express","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 62 - W. Oakland Bart/Fruitvale Bart [TO WEST OAKLAND BART]","AC TRANSIT___62 West Oakland BART to Fruitvale BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 62 - W. Oakland Bart/Fruitvale Bart [TO FRUITVALE BART]","AC TRANSIT___62 West Oakland BART to Fruitvale BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 76 - Hilltop Mall - CCC - del Norte BART [TO HILLTOP MALL]","AC TRANSIT___76 El Cerrito del Norte BART to Hilltop Mall","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 76 - Hilltop Mall - CCC - del Norte BART [TO E C DEL NORTE BART]","AC TRANSIT___76 El Cerrito del Norte BART to Hilltop Mall","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 29 - Emeryville/West Oakland BART/Lakeshore [TO PUBLIC MARKET EMERYVILLE]","AC TRANSIT___29 Emeryville West Oakland BART Lakeshore","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 29 - Emeryville/West Oakland BART/Lakeshore [TO LAKESHORE AVE]","AC TRANSIT___29 Emeryville West Oakland BART Lakeshore","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 217 - Frmt BART - Mission - Milpitas - Alder [TO GREAT MALL T.C.]","AC TRANSIT___217 Fremont BART to Great Mall","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 217 - Frmt BART - Mission - Milpitas - Alder [TO FREMONT BART]","AC TRANSIT___217 Fremont BART to Great Mall","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 33 - Montclair/Highland [TO PIEDMONT]","AC TRANSIT___33 Montclair Highland","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 33 - Montclair/Highland [TO MONTCLAIR]","AC TRANSIT___33 Montclair Highland","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 70 - Richmond Pkwy. TC. - Richmond BART [TO RICHMOND PARKWAY TRANSIT CENTER]","AC TRANSIT___70 Richmond BART to Richmond Pkwy Transit Center","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 89 - San Leandro Bart-S. L. Marina-Bayfair Bart [CLOCKWISE]","AC TRANSIT___89 San Leandro BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 70 - Richmond Pkwy. TC. - Richmond BART [TO RICHMOND BART]","AC TRANSIT___70 Richmond BART to Richmond Pkwy Transit Center","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 19 - Downtown Oakland - Fruitvale BART [TO DOWNTOWN OAKLAND]","AC TRANSIT___19 Downtown Oakland Fruitvale BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 74 - CCC/Richmond BART/Ford Pt. [TO APPIAN WAY/CASTRO RANCH RD/HILLTOP MALL]","AC TRANSIT___74 Marina Bay Richmond to San Pablo Dam Rd El Sobrante","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 89 - San Leandro Bart-S. L. Marina-Bayfair Bart [COUNTERCLOCKWISE]","AC TRANSIT___89 San Leandro BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 96 - Fruitvale Montana/Alameda Point [TO ALAMEDA POINT]","AC TRANSIT___96 Fruitvale Montana Alameda Point","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 200 - Union City BART-Newpark Mall-Fremont BART [TO UNION CITY BART]","AC TRANSIT___200 Union City BART Fremont BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 96 - Fruitvale Montana/Alameda Point [TO DIMOND DISTRICT]","AC TRANSIT___96 Fruitvale Montana Alameda Point","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 200 - Union City BART-Newpark Mall-Fremont BART [TO FREMONT BART]","AC TRANSIT___200 Union City BART Fremont BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 74 - CCC/Richmond BART/Ford Pt. [TO MARINA BAY]","AC TRANSIT___74 Marina Bay Richmond to San Pablo Dam Rd El Sobrante","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 71 - Richmond Pkwy TC - El Cerrito Plaza BART [TO RICHMOND PARKWAY TRANSIT CENTER]","AC TRANSIT___71 El Cerrito Plaza BART to Richmond Parkway Transit Center","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 71 - Richmond Pkwy TC - El Cerrito Plaza BART [TO E C PLAZA BART]","AC TRANSIT___71 El Cerrito Plaza BART to Richmond Parkway Transit Center","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 98 - Coliseum Bart/98th Ave/Eastmont T.C. [TO EASTMONT TRANSIT CENTER]","AC TRANSIT___98 Coliseum BART Edgewater Dr","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 22 - Hayward Bart -South Hayward Bart - Chabot [CLOCKWISE]","AC TRANSIT___22 Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 98 - Coliseum Bart/98th Ave/Eastmont T.C. [TO COLISEUM BART]","AC TRANSIT___98 Coliseum BART Edgewater Dr","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 22 - Hayward Bart -South Hayward Bart - Chabot [COUNTERCLOCKWISE]","AC TRANSIT___22 Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 45 - Eastmont T. C./Foothill Sq. [TO EASTMONT TRANSIT CENTER]","AC TRANSIT___45 Eastmont Transit Center to Foothill Square Oakland","AC TRANSIT","local bus"
