"","survey","survey_year","survey_name","canonical_name"
"51","AC Transit",2013,"AC Transit 7 - D.NORTE BART/BERKELEY BART","AC TRANSIT---7 D.NORTE BART/BERKELEY BART"
"52","AC Transit",2013,"Union City 1 Alvarado-Niles: Union City Blvd / Dyer","UNION CITY---Union City 1 Alvarado-Niles: Union City Blvd / Dyer"
"53","AC Transit",2013,"AC Transit 98 - Coliseum Bart/98th Ave/Eastmont T.C.","AC TRANSIT---98 Coliseum BART Edgewater Dr."
"54","AC Transit",2013,"AC Transit 46 - Coliseum Bart/Knowland Zoo","AC TRANSIT---46 Coliseum BART to Oakland Zoo"
"55","AC Transit",2013,"WestCAT JR Express - Del Norte BART/Richmond Parkway Transit Center","WESTCAT---WestCAT JR Express - Del Norte BART/Richmond Parkway Transit Center"
"56","AC Transit",2013,"Golden Gate 40 El Cerrito - Richmond - San Rafael","GOLDEN GATE TRANSIT---40 El Cerrito - Richmond - San Rafael"
"57","AC Transit",2013,"SolTrans 80 Vallejo/El Cerrito Del Norte BART","SOLTRANS---SolTrans 80 Vallejo/El Cerrito Del Norte BART"
"58","AC Transit",2013,"MUNI 55-16th Street ","MUNI---55-16th Street "
"59","AC Transit",2013,"AC Transit 99 - Hwd.BART- UC  Bart - Fmt Bart","AC TRANSIT---99 Bay Fair BART to Fremont BART"
"60","AC Transit",2013,"AC Transit 39 - Fruitvale Bart/Skyline High School","AC TRANSIT---39 Fruitvale BART to Skyline High School"
"61","AC Transit",2013,"AC Transit 88 - Berkeley BART - Downtown Oakland","AC TRANSIT---88 Berkeley BART to Lake Merritt BART"
"62","AC Transit",2013,"MUNI 14R-Mission Rapid ","MUNI---14R-Mission Rapid "
"63","AC Transit",2013,"MUNI 38R-Geary Rapid ","MUNI---38R-Geary Rapid "
"64","AC Transit",2013,"San Leandro LINKS Shuttle","SLTMO---San Leandro LINKS Shuttle"
"65","AC Transit",2013,"AC Transit 75 - Bayfair Bart-Washington Manor-S. L. Bart","AC TRANSIT---75 San Leandro BART to Bay Fair BART"
"66","AC Transit",2013,"MUNI N-Judah ","MUNI---N-Judah "
"67","AC Transit",2013,"AC Transit NX4 - San Francisco/Castro Valley","AC TRANSIT---NX4 Castro Valley Park & Ride"
"68","AC Transit",2013,"Tri Delta 388 Pittsburg BART / Hillcrest Park & Ride","TRI-DELTA--- 388 Pittsburg BART / Hillcrest Park & Ride"
"69","AC Transit",2013,"AC Transit BSD - BROADWAY SHUTTLE DAY","AC TRANSIT---BSD BROADWAY SHUTTLE DAY"
"70","AC Transit",2013,"MUNI 43-Masonic ","MUNI---43-Masonic "
"71","AC Transit",2013,"Alameda County employee shuttle (Lake Merritt, 12th St, Hayward)","AC TRANSIT---Alameda County employee shuttle (Lake Merritt, 12th St, Hayward)"
"72","AC Transit",2013,"MUNI 6-Haight/Parnassus ","MUNI---6-Haight/Parnassus "
"73","AC Transit",2013,"AC Transit 663 - Encianal H.S./ Island H.S./Broadway Blanding","AC Transit---663 Encianal H.S./ Island H.S./Broadway Blanding"
"74","AC Transit",2013,"MUNI J-Church ","MUNI---J-Church "
"75","AC Transit",2013,"MUNI F-Market & Wharves ","MUNI---F-Market & Wharves "
"76","AC Transit",2013,"AC Transit BSN - BROADWAY SHUTTLE NIGHT","AC TRANSIT---BSN BROADWAY SHUTTLE NIGHT"
"77","AC Transit",2013,"Tri Delta 300 Pittsburg BART / Brentwood Park & Ride","TRI-DELTA--- 300 Pittsburg BART / Brentwood Park & Ride"
"78","AC Transit",2013,"AC Transit 83 - Hayward BART - S. Hayward BART","AC TRANSIT---83 Hayward BART to South Hayward BART"
"79","AC Transit",2013,"AC Transit 805 - OWL/Dtn. Oakland/Oakland  Airport","AC TRANSIT---805 All Nighter. Downtown Oakland to Oakland Airport"
"80","AC Transit",2013,"Capitol Corridor Intercity Rail","AMTRAK---Capitol Corridor"
"81","AC Transit",2013,"Dept. of Health (DHS) Shuttle (del Norte)","BART---Dept. of Health (DHS) Shuttle (del Norte)"
"82","AC Transit",2013,"MUNI M-Ocean View ","MUNI---M-Ocean View "
"83","AC Transit",2013,"VTA 180 Express","VTA---180 Express"
"84","AC Transit",2013,"AC Transit M - Hayward BART- Hillsdale Mall- Oracle","AC TRANSIT---M Hayward BART to Oracle"
"85","AC Transit",2013,"AC Transit 200 - Union City BART-Newpark Mall-Fremont BART","UNION CITY---200 Union City BART-Newpark Mall-Fremont BART"
"86","AC Transit",2013,"AC Transit 216 - U.C. BART-Niles-Fremont BART-Ohlone Newark","AC TRANSIT---216 U.C. BART-Niles-Fremont BART-Ohlone Newark"
"87","AC Transit",2013,"AC Transit 232 - Fremont BART-U.C. BART-Mission-Ohlone Newark","AC TRANSIT---232 Fremont BART to New Park Mall"
"88","AC Transit",2013,"MUNI NX-N Express ","MUNI---NX-N Express "
"89","AC Transit",2013,"AC Transit 801 - OWL-DTN.OAKLAND/FREMONT BART","AC TRANSIT---801 OWL-DTN.OAKLAND/FREMONT BART"
"90","AC Transit",2013,"AC Transit 81 - Claremont/Berkeley/Amtrak/Berk.Marina","AC TRANSIT---81 Claremont/Berkeley/Amtrak/Berk.Marina"
"91","AC Transit",2013,"AC Transit 70 - Richmond Pkwy. TC. - Richmond BART","AC TRANSIT---70 Richmond BART to Richmond Pkwy. Transit Center"
