"","lat","lon"
"490",37.749427,-122.431786
"491",37.74519,-122.43134
"492",37.75112,-122.43854
"493",37.746009,-122.436187
"494",37.757421,-122.43986
"495",37.660716,-122.404561
"496",37.75653,-122.431362
"497",37.711156,-122.390832
"498",37.866707,-122.2542
"499",37.765282,-122.441238
"500",37.760924,-122.432212
"501",37.714488,-122.480224
"502",37.802289,-122.455697
"503",37.803713,-122.443627
"504",37.777642,-122.276536
"505",37.714802,-122.176496
"506",38.558862,-121.696962
"507",37.938431,-122.364719
"508",37.651206,-122.432283
"509",37.641113,-122.081215
"510",37.745932,-122.494167
"511",37.599237,-122.382468
"512",37.738992,-122.482946
"513",37.73691,-122.141216
"514",37.806571,-122.475046
"515",37.743684,-122.485875
"516",37.741394,-122.462589
"517",37.92762,-122.317067
"518",37.716064,-122.471466
"519",37.719613,-122.465452
"520",37.5563,-122.31837
"521",37.691947,-122.477361
"522",37.660362,-122.470898
"523",37.48216,-122.227659
"524",37.616878,-122.384213
"525",38.006795,-121.729752
"526",37.721529,-122.160628
"527",37.763925,-122.481794
"528",37.47747,-122.152506
"529",37.689584,-122.461507
"530",37.756296,-122.473183
"531",37.7631,-122.484512
"532",37.752885,-122.466479
"533",37.752476,-122.470861
"534",37.660291,-122.446564
"535",37.71969,-122.45177
"536",37.944649,-122.508509
"537",37.758896,-122.498318
"538",37.721095,-122.401124
"539",37.989882,-122.039678
"540",37.723874,-122.406315
"541",37.723041,-122.387516
"542",37.710669,-122.399447
"543",37.603607,-122.376151
"544",37.738772,-122.486969
"545",37.689147,-122.105026
"546",37.838929,-122.28268
"547",37.921834,-122.095345
"548",37.875658,-122.271323
"549",37.80971,-122.259204
"550",37.940522,-122.319896
"551",37.485174,-122.232298
"552",37.556098,-122.301028
"553",37.553046,-122.25423
"554",37.894284,-122.147622
"555",37.770423,-122.181848
"556",37.885434,-122.271087
"557",37.823095,-122.258735
"558",37.352904,-121.936443
"559",37.444254,-122.165096
"560",37.450365,-122.155151
"561",37.329863,-121.900334
"562",37.568627,-122.328962
"563",37.437883,-122.127496
"564",37.51164,-122.30422
"565",37.396596,-122.100696
"566",37.433295,-122.176208
"567",37.532008,-122.343042
"568",37.425045,-122.173294
"569",37.338208,-121.886329
"570",37.329673,-121.89248
"571",37.654972,-122.405821
"572",37.873604,-122.254446
"573",37.335765,-121.879851
"574",37.838437,-122.29312
"575",37.811849,-122.249907
"576",37.951691,-122.060836
"577",37.764198,-122.445308
"578",37.751628,-122.456178
"579",37.905537,-122.547374
"580",37.754109,-122.440945
"581",37.652034,-122.381982
"582",37.734559,-122.459659
"583",37.736611,-122.443301
"584",37.749942,-122.450335
"585",37.758065,-122.466065
"586",37.76165,-122.449143
"587",37.930682,-122.343778
"588",37.763479,-122.226523
"589",37.73793,-122.252021
"590",37.675912,-121.89716
"591",37.826637,-122.252609
"592",37.75205,-122.125601
"593",37.844757,-122.284224
"594",37.969191,-122.037479
"595",37.927608,-122.321757
"596",37.781897,-122.219548
"597",37.849269,-122.252566
"598",37.587209,-122.021685
"599",37.937683,-122.330687
"600",38.020634,-121.887976
"601",38.247199,-122.300301
"602",37.910481,-122.280247
"603",37.7003,-122.126
"604",37.796283,-121.984531
"605",37.593392,-122.04383
"606",37.283632,-121.842015
"607",37.763102,-122.181466
"608",37.537772,-122.255181
"609",37.663254,-122.112127
"610",37.818745,-122.25125
"611",37.944595,-122.055691
"612",37.956917,-122.066785
