"","canonical_operator","canonical_name"
"921","Stanford","Stanford Marguerite Line O Palo Alto Escondido Village,Palo Alto Transit Center"
"925","VTA","39 VILLAGES - EASTRIDGE"
"926","Stanford","Stanford Marguerite Line P Serving the Palo Alto Transit Center, the Stanford Oval"
"930","Stanford","Stanford Marquerite TECH Palo Alto TECH Center-Stanford Medical Center"
"933","VTA","63 ALMADEN VALLEY - SAN JOSE STATE"
"936","SF Muni","108 Treasure Island"
"941","BART","BART MILL/RICH Millbrae to Richmond"
"943","BART","BART SFIA/BAY PT San Francisco International Airport to Pittsburg/Bay Point"
"944","Burlingame","Burlingame Trolley Shuttle"
"947","Stanford","Stanford Marguerite MedCtr LOOP - Medical Center Loop Shuttle"
"948","VTA","53 WESTGATE - SUNNYVALE CTRN"
"950","SamTrans","274 Cañada College Redwood City Caltrain Station"
"951","Caltrain","Caltrain- Shuttles Broadway - Millbrae"
"958","Caltrain","Caltrain- Shuttles Seaport Centre"
"959","Stanford","Stanford Marguerite 1050 Arastra Medical Center to 1050 Arastradero"
"960","VTA","Shuttles 827 YELLOW LINE-ACE S. SANTA CLARA"
"961","Stanford","Stanford Marguerite Bohannon Drive to the Stanford Barn"
"965","Caltrain","Caltrain- Shuttles RWC Midpoint"
"967","Golden Gate Transit","44 Marinwood - San Rafael Transit Center - San Francisco"
"968","BART","BART - Shuttles Seton Medical Center and Daly City Civic Center"
"969","Caltrain","Caltrain- Shuttles Mariners Island/PCA Employer"
"970","Caltrain","Caltrain- Shuttles Shoreline"
"971","Caltrain","Caltrain- Shuttles Willow Road"
"973","VTA","970 HIGHWAY 17 EXPRESS/AMTRAK"
"978","Caltrain","Caltrain- Shuttles Lincoln Centre"
"979","SamTrans","294 Linda Mar Park Hillsdale Shopping Center"
"980","BART","BART RICH/FREMONT Richmond To Fremont"
"981","Caltrain","Caltrain- Shuttles Embarcadero and Crosstown"
"983","VTA","26 EASTRIDGE - SUNNYVALE/LOCKHEED"
"985","Stanford","Stanford Marguerite MedCtr LOOP - Medical Center Loop Shuttle"
"986","VTA","48 LOS GATOS - WINCHESTER LRT"
"989","Stanford","Stanford Marguerite Research Pk Research Park Shuttle"
"991","VTA","31 EASTRIDGE-EVERGREEN COLL"
"994","Stanford","Stanford Marguerite TECH Palo Alto TECH Center-Stanford Medical Center"
"995","BART","BART BAY PT/SFIA Pittsburg/Bay Point to San Francisco International Airport"
"997","Stanford","Stanford Marguerite Shopping Exp Med Center, El Camino, and San Antonio Rd"
"999","SamTrans","397 OWL SERVICE San Francisco to Palo Alto"
"1000","Caltrain","Caltrain- Shuttles Bowers - Walsh"
"1001","BART","BART - Shuttles San Francisco State SFSU campus"
"1002","Caltrain","Caltrain- Shuttles Airport Flyer Santa Clara"
"1003","BART","BART DALY/FREMONT Daly City To Fremont"
"1005","SamTrans","280 Stanford Shopping Center Palo Alto Caltrain East Palo Alto"
"1006","VTA","37 CAPITOL LRT - WEST VALLEY COLLEGE"
"1010","VTA","201 Downtown Area Shuttle (DASH)"
"1013","BART","BART DUBLIN/DALY Dublin/Pleasanton To Daly City"
"1016","Caltrain","Caltrain- Shuttles Oyster Point Shuttle"
"1017","SamTrans","297 Redwood City Palo Alto"
"1018","Caltrain","Caltrain- Shuttles Redwood Shores (Bridge Park)"
"1019","SamTrans","286"
"1026","ACE","ACE (Shuttles) VTA/SJC Airport Flyer Shuttle"
"1027","Caltrain","Caltrain- Shuttles Bayhill San Bruno"
"1039","Bayview","Bayview Hunters Point Community Shuttle BVHP - SFGH/St. Luke’s"
"1041","BART","BART DALY/DUBLIN Daly City To Dublin/Pleasanton"
"1057","SF Muni","Cable Car"
"1061","Caltrain","Caltrain- Shuttles Campus Drive"
"1069","Caltrain","Caltrain- Shuttles Marsh Road"
"1071","SF Muni","NX Judah Express   Peak direction only"
"1072","Caltrain","Caltrain- Shuttles Mary - Moffett"
"1103","BART","BART - Shuttles UCSF Mission Bay Parnassus Heights and other UCSF facilities"
"1105","Stanford","Stanford Marguerite Ardenwood Park n Ride"
"1112","Caltrain","Caltrain- Shuttles East Palo Alto Community"
"1122","SamTrans","274 Canada College Redwood City Caltrain Station"
"1127","Menlo Park","Menlo Park Shuttle Midday Shuttle"
"1130","Caltrain","Caltrain- Shuttles Oracle"
"1137","VTA","60 Winchester Lrt - Gt America"
"1139","Caltrain","Caltrain LIMITED Limited 200"
"1141","Palo Alto","Palo Alto E Embarcadero Shuttle"
"1145","Stanford","Stanford Marguerite Line C Stock Farm parking lots, West Apartments"
"1155","Caltrain","Caltrain- Shuttles Pacific Shores"
"1162","Amtrak","Amtrak Shuttle"
"1166","SF Muni","81X Caltrain Express"
"1170","VTA","51 VALLCO - MOFFETT FLD/AME CTR"
"1172","VTA","32 STA CLARA CTRN SN ANTONIO SHOP CTR"
"1173","Caltrain","Caltrain- Shuttles Redwood Shores (Clipper)"
"1176","Caltrain","Caltrain- Shuttles Mission"
"1177","Golden Gate Ferry","SF Sausalito"
"1178","Caltrain","Caltrain LOCAL Local 100"
"1179","Caltrain","Caltrain- Shuttles Bayshore/Brisbane"
"1183","Caltrain","Caltrain- Shuttles Deer Creek"
"1189","BART","BART FREMONT/RICH Fremont To Richmond"
"1201","SF Muni","M OWL   Ocean View   Bus substitution for Metro"
"1202","SF Muni","33 Stanyan"
"1203","SF Muni","28 19th Ave"
"1211","VTA","16 BURNETT AVE - M.H. CIVIC CTR"
