champ_name,apc_route,apc_direction,stop_sequence,stop_location,match_location,segment_number,start_or_end,updated_segment_number
MUN28LI,28R,INBOUND,13,19th/Santiago,NA,NA,NA,1
MUN28LI,28R,INBOUND,14,19th/Rivera,NA,NA,NA,1
MUN28LI,28R,INBOUND,15,Quintara/19th,NA,NA,NA,1
MUN28LI,28R,INBOUND,16,Pacheco/19th,NA,NA,NA,1
MUN28LI,28R,INBOUND,17,19th/Ortega,NA,NA,NA,1
MUN28LI,28R,INBOUND,18,19th/Noriega,NA,NA,NA,1
MUN28LI,28R,INBOUND,19,Moraga/19th,NA,NA,NA,1
MUN28LI,28R,INBOUND,20,19th/Lawton,NA,NA,NA,1
MUN28LI,28R,INBOUND,21,19th/Kirkham,NA,NA,NA,1
MUN28LI,28R,INBOUND,22,19th/Judah,NA,NA,NA,1
MUN28LI,28R,INBOUND,23,19th/Irving,NA,NA,NA,1
MUN28LI,28R,INBOUND,24,Lincoln/19th,NA,NA,NA,1
MUN28LI,28R,INBOUND,25,Park Presidio/Park Presidio Bypass/Fulton,NA,NA,NA,1
MUN28LI,28R,INBOUND,26,Balboa/Park Presidio,NA,NA,NA,1
MUN28LI,28R,INBOUND,27,Geary/Park Presidio,NA,NA,NA,1
MUN28LI,28R,INBOUND,28,California/Park Presidio,NA,NA,NA,1
MUN28LI,28R,INBOUND,30,California/10th,NA,NA,NA,1
MUN28LI,28R,INBOUND,31,8th/California,NA,NA,NA,1
MUN28LI,28R,INBOUND,32,6th/California,NA,NA,NA,1
MUN28LI,28R,INBOUND,33,California/4th,NA,NA,NA,1
MUN28LI,28R,INBOUND,34,California/Arguello,NA,NA,NA,1
MUN28LI,28R,INBOUND,35,Cherry/California,NA,NA,NA,1
MUN28LI,28R,INBOUND,37,California/Spruce,NA,NA,NA,1
MUN28LI,28R,INBOUND,38,Laurel/California,NA,NA,NA,1
MUN28LI,28R,INBOUND,39,California/Presidio,NA,NA,NA,1
MUN28LI,28R,INBOUND,40,Presidio/Clay,NA,NA,NA,1
MUN28LI,28R,INBOUND,41,Jackson/Presidio,NA,NA,NA,1
MUN28LI,28R,INBOUND,42,Presidio,NA,NA,NA,1
MUN28LI,28R,INBOUND,43,Letterman,NA,NA,NA,1
MUN28LI,28R,INBOUND,44,Letterman,NA,NA,NA,1
MUN28LI,28R,INBOUND,45,Lyon/Lombard,NA,NA,NA,1
MUN28LI,28R,INBOUND,46,Richardson/Lombard,NA,NA,NA,1
MUN28LI,28R,INBOUND,47,Divisadero/Lombard,NA,NA,NA,1
MUN28LI,28R,INBOUND,48,Lombard/Pierce,NA,NA,NA,1
MUN28LI,28R,INBOUND,49,Lombard/Fillmore,NA,NA,NA,1
MUN28LI,28R,INBOUND,50,Lombard/Laguna,Marina & Laguna,1,Start,1
MUN28LI,28R,INBOUND,51,Laguna/Chestnut,NA,NA,NA,1
MUN28LI,28R,INBOUND,52,Buchanan/Bay,NA,NA,NA,1
MUN28LI,28R,INBOUND,53,Beach/Buchanan/Marina,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,0,Beach/Buchanan/Marina,NA,NA,NA,Missing
MUN28LO,28R,OUTBOUND,1,Laguna/Marina,Marina & Laguna,1,Start,1
MUN28LO,28R,OUTBOUND,2,Laguna/Chestnut,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,4,Lombard/Fillmore,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,5,Lombard/Pierce,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,6,Divisadero/Lombard,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,8,Letterman,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,9,Lincoln/Presidio/Letterman,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,10,Presidio,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,11,Jackson/Presidio,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,12,Presidio/Clay,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,13,California/Presidio,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,15,California/Spruce,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,16,California/Maple,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,17,Cherry/California,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,18,California/Arguello,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,19,California/4th,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,20,6th/California,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,21,8th/California,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,22,California/10th,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,23,12th/California,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,24,California/Park Presidio,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,25,Geary/Park Presidio,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,26,Balboa/Park Presidio,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,27,Park Presidio/Park Presidio Bypass/Fulton,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,28,Lincoln/19th,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,29,19th/Irving,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,30,19th/Judah,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,31,19th/Kirkham,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,32,19th/Lawton,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,33,Moraga/19th,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,34,19th/Noriega,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,35,19th/Ortega,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,36,Pacheco/19th,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,37,Quintara/19th,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,38,19th/Rivera,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,39,19th/Santiago,NA,NA,NA,1
MUN28LO,28R,OUTBOUND,40,Taraval/19th,19th & Taraval,1,End,1
MUN28LO,28R,OUTBOUND,41,Ulloa/19th,19th & Ulloa,2,Start,2
MUN28LO,28R,OUTBOUND,42,19th/Vicente,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,43,Wawona/19th,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,44,19th/Sloat,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,45,Ocean/19th,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,46,Eucalyptus/19th,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,47,Winston/19th,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,48,Holloway/19th,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,49,19th/Junipero Serra,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,50,Junipero Serra,NA,NA,NA,2
MUN28LO,28R,OUTBOUND,52,Delong/John Daly,NA,NA,NA,2
MUN28O,28,OUTBOUND,0,Laguna/Marina,NA,NA,NA,Missing
MUN28O,28,OUTBOUND,1,Laguna/Chestnut,Marina & Laguna,1,Start,1
MUN28O,28,OUTBOUND,2,Lombard/Fillmore,NA,NA,NA,1
MUN28O,28,OUTBOUND,3,Lombard/Pierce,NA,NA,NA,1
MUN28O,28,OUTBOUND,4,Divisadero/Lombard,NA,NA,NA,1
MUN28O,28,OUTBOUND,5,Hwy 101 N On-ramp/Richardson/Hwy 101 S Off-ramp/Francisco,NA,NA,NA,1
MUN28O,28,OUTBOUND,6,Unnamed Number 077/Unnamed Number 052,NA,NA,NA,1
MUN28O,28,OUTBOUND,7,Unnamed Number 152/Hwy 101 S Off-ramp/Merchant/Hwy 101 S On-ramp,NA,NA,NA,1
MUN28O,28,OUTBOUND,8,California/Park Presidio,NA,NA,NA,1
MUN28O,28,OUTBOUND,9,Geary/Park Presidio,NA,NA,NA,1
MUN28O,28,OUTBOUND,10,Balboa/Park Presidio,NA,NA,NA,1
MUN28O,28,OUTBOUND,11,Park Presidio/Park Presidio Bypass/Fulton,NA,NA,NA,1
MUN28O,28,OUTBOUND,12,Lincoln/19th,NA,NA,NA,1
MUN28O,28,OUTBOUND,13,19th/Irving,NA,NA,NA,1
MUN28O,28,OUTBOUND,14,19th/Judah,NA,NA,NA,1
MUN28O,28,OUTBOUND,15,19th/Kirkham,NA,NA,NA,1
MUN28O,28,OUTBOUND,16,19th/Lawton,NA,NA,NA,1
MUN28O,28,OUTBOUND,17,Moraga/19th,NA,NA,NA,1
MUN28O,28,OUTBOUND,18,19th/Noriega,NA,NA,NA,1
MUN28O,28,OUTBOUND,19,19th/Ortega,NA,NA,NA,1
MUN28O,28,OUTBOUND,20,Pacheco/19th,NA,NA,NA,1
MUN28O,28,OUTBOUND,21,Quintara/19th,NA,NA,NA,1
MUN28O,28,OUTBOUND,22,19th/Rivera,NA,NA,NA,1
MUN28O,28,OUTBOUND,23,19th/Santiago,NA,NA,NA,1
MUN28O,28,OUTBOUND,24,Taraval/19th,19th & Taraval,2,End,2
MUN28O,28,OUTBOUND,25,Ulloa/19th,19th & Ulloa,3,Start,3
MUN28O,28,OUTBOUND,26,19th/Vicente,NA,NA,NA,3
MUN28O,28,OUTBOUND,27,Wawona/19th,NA,NA,NA,3
MUN28O,28,OUTBOUND,28,19th/Sloat,NA,NA,NA,3
MUN28O,28,OUTBOUND,29,Ocean/19th,NA,NA,NA,3
MUN28O,28,OUTBOUND,30,Eucalyptus/19th,NA,NA,NA,3
MUN28O,28,OUTBOUND,31,Winston/19th,NA,NA,NA,3
MUN28O,28,OUTBOUND,32,Holloway/19th,NA,NA,NA,3
MUN28O,28,OUTBOUND,33,19th/Junipero Serra,NA,NA,NA,3
MUN28O,28,OUTBOUND,34,Junipero Serra,NA,NA,NA,3
MUN28O,28,OUTBOUND,36,Delong/John Daly,NA,NA,NA,3
MUN29I,29,INBOUND,0,3rd/Fitzgerald,NA,NA,NA,Missing
MUN29I,29,INBOUND,2,Ingalls/Fitzgerald,NA,NA,NA,Missing
MUN29I,29,INBOUND,3,Fitzgerald/Hawes,NA,NA,NA,Missing
MUN29I,29,INBOUND,4,Griffith/Gilman,NA,NA,NA,Missing
MUN29I,29,INBOUND,5,Gilman/Giants,NA,NA,NA,Missing
MUN29I,29,INBOUND,8,Gilman/Hawes,NA,NA,NA,Missing
MUN29I,29,INBOUND,10,Gilman/Jennings,NA,NA,NA,Missing
MUN29I,29,INBOUND,11,Paul/3rd/Gilman,NA,NA,NA,Missing
MUN29I,29,INBOUND,12,Paul/Gould,NA,NA,NA,Missing
MUN29I,29,INBOUND,13,Paul/Crane,NA,NA,NA,Missing
MUN29I,29,INBOUND,15,Paul/San Bruno,NA,NA,NA,Missing
MUN29I,29,INBOUND,16,San Bruno/Mansell,NA,NA,NA,Missing
MUN29I,29,INBOUND,17,Mansell/Brussels,NA,NA,NA,Missing
MUN29I,29,INBOUND,18,Goettingen/Mansell,NA,NA,NA,Missing
MUN29I,29,INBOUND,19,Mansell/Somerset,NA,NA,NA,Missing
MUN29I,29,INBOUND,21,Dartmouth/Mansell,NA,NA,NA,Missing
MUN29I,29,INBOUND,22,University/Mansell,NA,NA,NA,Missing
MUN29I,29,INBOUND,23,John F Shelley/Mansell,NA,NA,NA,Missing
MUN29I,29,INBOUND,25,Brazil/Mansell,NA,NA,NA,Missing
MUN29I,29,INBOUND,26,Prague/Persia,NA,NA,NA,Missing
MUN29I,29,INBOUND,27,Persia/Moscow,NA,NA,NA,Missing
MUN29I,29,INBOUND,28,Persia/Athens,NA,NA,NA,Missing
MUN29I,29,INBOUND,30,Persia/Madrid,NA,NA,NA,Missing
MUN29I,29,INBOUND,31,Persia/Paris,NA,NA,NA,Missing
MUN29I,29,INBOUND,32,Persia/Mission,NA,NA,NA,Missing
MUN29I,29,INBOUND,33,Mission/Onondaga,NA,NA,NA,Missing
MUN29I,29,INBOUND,34,Mission/Italy,NA,NA,NA,Missing
MUN29I,29,INBOUND,35,Mission/Geneva,NA,NA,NA,Missing
MUN29I,29,INBOUND,36,Cayuga/Geneva,NA,NA,NA,Missing
MUN29I,29,INBOUND,37,Delano/Geneva,NA,NA,NA,Missing
MUN29I,29,INBOUND,38,San Jose/Geneva,NA,NA,NA,Missing
MUN29I,29,INBOUND,39,Geneva/Howth,NA,NA,NA,Missing
MUN29I,29,INBOUND,40,Ocean/Lee,NA,NA,NA,Missing
MUN29I,29,INBOUND,41,Plymouth/Ocean,NA,NA,NA,Missing
MUN29I,29,INBOUND,42,Plymouth/Holloway,NA,NA,NA,Missing
MUN29I,29,INBOUND,43,Plymouth/Grafton,NA,NA,NA,Missing
MUN29I,29,INBOUND,44,Granada/Grafton,NA,NA,NA,Missing
MUN29I,29,INBOUND,45,Capitol/Grafton,NA,NA,NA,Missing
MUN29I,29,INBOUND,46,Jules/Grafton,NA,NA,NA,Missing
MUN29I,29,INBOUND,47,Bright/Garfield,NA,NA,NA,Missing
MUN29I,29,INBOUND,48,Victoria/Garfield,NA,NA,NA,Missing
MUN29I,29,INBOUND,49,Vernon/Garfield,NA,NA,NA,Missing
MUN29I,29,INBOUND,50,Garfield/Byxbee,NA,NA,NA,Missing
MUN29I,29,INBOUND,52,Holloway/Junipero Serra,NA,NA,NA,Missing
MUN29I,29,INBOUND,53,Holloway/19th,19th & Holloway,2,Start,2
MUN29I,29,INBOUND,54,Winston/20th,NA,NA,NA,2
MUN29I,29,INBOUND,55,Winston/Buckingham,NA,NA,NA,2
MUN29I,29,INBOUND,56,Winston/Lake Merced,NA,NA,NA,2
MUN29I,29,INBOUND,57,Lake Merced/Middlefield,NA,NA,NA,2
MUN29I,29,INBOUND,59,Ocean/Sunset,NA,NA,NA,2
MUN29I,29,INBOUND,60,Sunset,NA,NA,NA,2
MUN29I,29,INBOUND,62,Sunset/Wawona,NA,NA,NA,2
MUN29I,29,INBOUND,63,Sunset/Vicente,NA,NA,NA,2
MUN29I,29,INBOUND,64,Sunset/Ulloa,NA,NA,NA,2
MUN29I,29,INBOUND,65,Taraval/Sunset,NA,NA,NA,2
MUN29I,29,INBOUND,66,Sunset/Santiago,NA,NA,NA,2
MUN29I,29,INBOUND,67,Sunset/Rivera,NA,NA,NA,2
MUN29I,29,INBOUND,68,Quintara/Sunset,NA,NA,NA,2
MUN29I,29,INBOUND,69,Pacheco/Sunset,NA,NA,NA,2
MUN29I,29,INBOUND,70,Sunset/Ortega,NA,NA,NA,2
MUN29I,29,INBOUND,71,Sunset/Noriega,NA,NA,NA,2
MUN29I,29,INBOUND,72,Moraga/Sunset,NA,NA,NA,2
MUN29I,29,INBOUND,73,Sunset/Lawton,NA,NA,NA,2
MUN29I,29,INBOUND,74,Sunset/Kirkham,NA,NA,NA,2
MUN29I,29,INBOUND,75,Sunset/Judah,NA,NA,NA,2
MUN29I,29,INBOUND,76,Unnamed Number 140/Sunset/Irving,NA,NA,NA,2
MUN29I,29,INBOUND,77,36th/Lincoln,NA,NA,NA,2
MUN29I,29,INBOUND,79,Lincoln/30th,NA,NA,NA,2
MUN29I,29,INBOUND,80,27th/Lincoln,NA,NA,NA,2
MUN29I,29,INBOUND,82,Lincoln/23rd,NA,NA,NA,2
MUN29I,29,INBOUND,83,Lincoln/21st,NA,NA,NA,2
MUN29I,29,INBOUND,84,20th/Irving,NA,NA,NA,2
MUN29I,29,INBOUND,85,Lincoln/19th,NA,NA,NA,2
MUN29I,29,INBOUND,86,Cross Over/25th/Fulton,NA,NA,NA,2
MUN29I,29,INBOUND,87,Balboa/25th,NA,NA,NA,2
MUN29I,29,INBOUND,88,Geary/25th,NA,NA,NA,2
MUN29I,29,INBOUND,89,Clement/25th,NA,NA,NA,2
MUN29I,29,INBOUND,90,California/25th,NA,NA,NA,2
MUN29I,29,INBOUND,91,25th/Lake,NA,NA,NA,2
MUN29I,29,INBOUND,92,El Camino Del Mar/25th,NA,NA,NA,2
MUN29I,29,INBOUND,93,Bowley/Lincoln,Bowley & Lincoln,1,Start,1
MUN29I,29,INBOUND,94,Bowley/Lincoln,NA,NA,NA,1
MUN29I,29,INBOUND,98,EL CAMINO DEL MAR / ,NA,NA,NA,1
MUN29I,29,INBOUND,99, / ,NA,NA,NA,1
MUN29O,29,OUTBOUND,0,California/25th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,1,Clement/25th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,2,Geary/25th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,3,Balboa/25th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,4,Cross Over/25th/Fulton,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,5,Lincoln/19th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,6,Lincoln/21st,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,7,Lincoln/23rd,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,9,27th/Lincoln,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,10,Lincoln/29th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,12,33rd/Lincoln,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,14,Lincoln/37th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,15,Unnamed Number 140/Sunset/Irving,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,16,Sunset/Judah,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,17,Sunset/Kirkham,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,18,Sunset/Lawton,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,19,Moraga/Sunset,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,20,Sunset/Noriega,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,21,Sunset/Ortega,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,22,Pacheco/Sunset,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,23,Quintara/Sunset,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,24,Sunset/Rivera,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,25,Sunset/Santiago,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,26,Taraval/Sunset,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,27,Sunset/Ulloa,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,28,Sunset/Vicente,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,29,Sunset/Wawona,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,30,Yorba/Sunset,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,31,Sunset,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,32,Ocean/Sunset,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,34,Lake Merced/Middlefield,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,35,Winston/Lake Merced,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,36,Winston/Buckingham,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,37,Winston/20th,NA,NA,NA,Missing
MUN29O,29,OUTBOUND,38,Holloway/19th,19th & Holloway,2,Start,2
MUN29O,29,OUTBOUND,39,Crespi,NA,NA,NA,2
MUN29O,29,OUTBOUND,40,Crespi/19th,NA,NA,NA,2
MUN29O,29,OUTBOUND,41,19th/Holloway,NA,NA,NA,2
MUN29O,29,OUTBOUND,42,Holloway/Junipero Serra,NA,NA,NA,2
MUN29O,29,OUTBOUND,43,Holloway/Beverly,NA,NA,NA,2
MUN29O,29,OUTBOUND,45,Garfield/Byxbee,NA,NA,NA,2
MUN29O,29,OUTBOUND,46,Vernon/Garfield,NA,NA,NA,2
MUN29O,29,OUTBOUND,47,Victoria/Garfield,NA,NA,NA,2
MUN29O,29,OUTBOUND,48,Bright/Garfield,NA,NA,NA,2
MUN29O,29,OUTBOUND,49,Jules/Grafton,NA,NA,NA,2
MUN29O,29,OUTBOUND,50,Capitol/Grafton,NA,NA,NA,2
MUN29O,29,OUTBOUND,51,Granada/Grafton,NA,NA,NA,2
MUN29O,29,OUTBOUND,52,Plymouth/Grafton,NA,NA,NA,2
MUN29O,29,OUTBOUND,53,Plymouth/Holloway,NA,NA,NA,2
MUN29O,29,OUTBOUND,54,Plymouth/Ocean,NA,NA,NA,2
MUN29O,29,OUTBOUND,55,Ocean/Lee,NA,NA,NA,2
MUN29O,29,OUTBOUND,56,Geneva/Howth,NA,NA,NA,2
MUN29O,29,OUTBOUND,57,San Jose/Geneva,NA,NA,NA,2
MUN29O,29,OUTBOUND,58,Cayuga/Geneva,NA,NA,NA,2
MUN29O,29,OUTBOUND,59,Mission/Geneva,NA,NA,NA,2
MUN29O,29,OUTBOUND,60,Mission/Italy,NA,NA,NA,2
MUN29O,29,OUTBOUND,61,Mission/Russia,NA,NA,NA,2
MUN29O,29,OUTBOUND,62,Persia/Mission,NA,NA,NA,2
MUN29O,29,OUTBOUND,63,Persia/Paris,NA,NA,NA,2
MUN29O,29,OUTBOUND,64,Persia/Madrid,NA,NA,NA,2
MUN29O,29,OUTBOUND,66,Persia/Athens,NA,NA,NA,2
MUN29O,29,OUTBOUND,67,Persia/Moscow,NA,NA,NA,2
MUN29O,29,OUTBOUND,68,Prague/Persia,NA,NA,NA,2
MUN29O,29,OUTBOUND,69,Brazil/Mansell,NA,NA,NA,2
MUN29O,29,OUTBOUND,72,Visitacion/Mansell,NA,NA,NA,2
MUN29O,29,OUTBOUND,73,Dartmouth/Mansell,NA,NA,NA,2
MUN29O,29,OUTBOUND,74,Hamilton/Mansell,NA,NA,NA,2
MUN29O,29,OUTBOUND,75,Mansell/Somerset,NA,NA,NA,2
MUN29O,29,OUTBOUND,76,Goettingen/Mansell,NA,NA,NA,2
MUN29O,29,OUTBOUND,77,Mansell/Brussels,NA,NA,NA,2
MUN29O,29,OUTBOUND,78,San Bruno/Mansell,NA,NA,NA,2
MUN29O,29,OUTBOUND,79,Paul/San Bruno,NA,NA,NA,2
MUN29O,29,OUTBOUND,80,Paul/Wheat,NA,NA,NA,2
MUN29O,29,OUTBOUND,81,Paul/Gould,NA,NA,NA,2
MUN29O,29,OUTBOUND,83,Paul/3rd/Gilman,NA,NA,NA,2
MUN29O,29,OUTBOUND,84,3rd/Fitzgerald,NA,NA,NA,2
MUN2I,2,INBOUND,0,Clement/14th,NA,NA,NA,Missing
MUN2I,2,INBOUND,8,California/Arguello,NA,NA,NA,Missing
MUN2I,2,INBOUND,9,Cherry/California,NA,NA,NA,Missing
MUN2I,2,INBOUND,10,California/Spruce,NA,NA,NA,Missing
MUN2I,2,INBOUND,11,Laurel/California,NA,NA,NA,Missing
MUN2I,2,INBOUND,12,California/Presidio,NA,NA,NA,Missing
MUN2I,2,INBOUND,13,Masonic/Pine/Presidio,Presidio & Pine,3,Start,3
MUN2I,2,INBOUND,14,Sutter/Presidio,Sutter & Presidio,2,End,2
MUN2I,2,INBOUND,15,Baker/Sutter,NA,NA,NA,2
MUN2I,2,INBOUND,16,Divisadero/Sutter,NA,NA,NA,2
MUN2I,2,INBOUND,17,Sutter/Scott,NA,NA,NA,2
MUN2I,2,INBOUND,18,Steiner/Sutter,NA,NA,NA,2
MUN2I,2,INBOUND,19,Sutter/Fillmore,NA,NA,NA,2
MUN2I,2,INBOUND,20,Buchanan/Sutter,NA,NA,NA,2
MUN2I,2,INBOUND,21,Sutter/Laguna,NA,NA,NA,2
MUN2I,2,INBOUND,22,Laguna/Post,NA,NA,NA,2
MUN2I,2,INBOUND,23,Post/Octavia,NA,NA,NA,2
MUN2I,2,INBOUND,24,Gough/Post,NA,NA,NA,2
MUN2I,2,INBOUND,25,Van Ness/Post,NA,NA,NA,2
MUN2I,2,INBOUND,26,Polk/Post,NA,NA,NA,2
MUN2I,2,INBOUND,27,Larkin/Post,NA,NA,NA,2
MUN2I,2,INBOUND,28,Hyde/Post,NA,NA,NA,2
MUN2I,2,INBOUND,29,Leavenworth/Post,NA,NA,NA,2
MUN2I,2,INBOUND,30,Jones/Post,NA,NA,NA,2
MUN2I,2,INBOUND,31,Post/Taylor,NA,NA,NA,2
MUN2I,2,INBOUND,32,Powell/Post,NA,NA,NA,2
MUN2I,2,INBOUND,33,Grant/Post,NA,NA,NA,2
MUN2I,2,INBOUND,34,Montgomery/Post,NA,NA,NA,2
MUN2I,2,INBOUND,35,1st/Bush/Market,NA,NA,NA,2
MUN2I,2,INBOUND,36,Beale/Pine/Davis/Market,NA,NA,NA,2
MUN2I,2,INBOUND,37,Spear/Market,NA,NA,NA,2
MUN2I,2,INBOUND,38,Steuart/Market,Market & Steuart,1,Start,1
MUN2O,2,OUTBOUND,0,Steuart/Market,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,1,Main/Market,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,2,Fremont/Front/Market,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,4,Kearny/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,5,Stockton Tunnel/Stockton/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,6,Powell/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,7,Mason/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,8,Sutter/Taylor,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,9,Jones/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,10,Leavenworth/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,11,Hyde/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,12,Larkin/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,13,Polk/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,14,Van Ness/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,15,Gough/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,16,Octavia/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,17,Sutter/Laguna,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,18,Buchanan/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,19,Sutter/Fillmore,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,21,Sutter/Scott,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,22,Divisadero/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,23,Baker/Sutter,NA,NA,NA,Missing
MUN2O,2,OUTBOUND,25,Masonic/Pine/Presidio,Presidio & Pine,3,Start,3
MUN2O,2,OUTBOUND,26,California/Presidio,NA,NA,NA,3
MUN2O,2,OUTBOUND,27,Laurel/California,NA,NA,NA,3
MUN2O,2,OUTBOUND,28,California/Spruce,NA,NA,NA,3
MUN2O,2,OUTBOUND,29,California/Maple,NA,NA,NA,3
MUN2O,2,OUTBOUND,30,Cherry/California,NA,NA,NA,3
MUN2O,2,OUTBOUND,31,California/Arguello,NA,NA,NA,3
MUN2O,2,OUTBOUND,32,Clement/Arguello,NA,NA,NA,3
MUN2O,2,OUTBOUND,33,Clement/2nd,NA,NA,NA,3
MUN2O,2,OUTBOUND,34,Clement/4th,NA,NA,NA,3
MUN2O,2,OUTBOUND,35,6th/Clement,NA,NA,NA,3
MUN2O,2,OUTBOUND,36,8th/Clement,NA,NA,NA,3
MUN2O,2,OUTBOUND,37,Clement/10th,NA,NA,NA,3
MUN2O,2,OUTBOUND,38,12th/Clement,NA,NA,NA,3
MUN2O,2,OUTBOUND,39,Clement/14th,Clement & 14th,3,End,3
MUN30I,30,INBOUND,0,Beach/Broderick,NA,NA,NA,Missing
MUN30I,30,INBOUND,1,Jefferson/Broderick,NA,NA,NA,Missing
MUN30I,30,INBOUND,2,Jefferson/Divisadero,NA,NA,NA,Missing
MUN30I,30,INBOUND,3,Beach/Divisadero,NA,NA,NA,Missing
MUN30I,30,INBOUND,4,North Point/Divisadero,NA,NA,NA,Missing
